
------------------------------------------------------------------------
This is catena4630-test1.ino.
System clock rate is 32.000 MHz
Enter 'help' for a list of commands.
(remember to select 'Line Ending: Newline' at the bottom of the monitor window.)
------------------------------------------------------------------------

FLASH found, put power down
?CatenaBase::GetProvisioningStyle: failing
?CatenaStm32L0::LoRaWAN::begin: Arduino_LoRaWAN:begin failed
?Catena463x::LoRaWAN::begin: Super::begin() failed
cPMS7003::fsmDispatch: enter stInitialSetup
hal begin
setReset: Z
setMode: Z
cPMS7003::fsmDispatch: enter stOff
wake
cPMS7003::fsmDispatch: enter stRequestPowerOn
set5v: 1
setReset: 0

OK
cPMS7003::fsmDispatch: enter stReset
setReset: 1
cPMS7003::fsmDispatch: enter stNormal
setMode: 1
CF1 pm 1.0=5     2.5=6     10=6     ATM pm 1.0=5     2.5=6     10=6     Dust .3=942   .5=261   1.0=26    2.5=3     5=0     10=0    
CF1 pm 1.0=5     2.5=6     10=6     ATM pm 1.0=5     2.5=6     10=6     Dust .3=942   .5=261   1.0=26    2.5=3     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=915   .5=251   1.0=25    2.5=3     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=915   .5=251   1.0=25    2.5=3     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=900   .5=241   1.0=25    2.5=3     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=900   .5=241   1.0=25    2.5=3     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=891   .5=241   1.0=24    2.5=3     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=891   .5=241   1.0=24    2.5=3     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=936   .5=259   1.0=24    2.5=3     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=5     ATM pm 1.0=3     2.5=4     10=5     Dust .3=936   .5=259   1.0=24    2.5=3     5=0     10=0    
CF1 pm 1.0=3     2.5=4     10=4     ATM pm 1.0=3     2.5=4     10=4     Dust .3=909   .5=247   1.0=17    2.5=3     5=0     10=0    
